,number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_batch_size,params_clip_range,params_ent_coef,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_epochs,params_n_steps,params_net_arch,params_target_kl,params_vf_coef,state
0,0,571.2324476,2025-02-13 06:54:53.840681,2025-02-13 06:55:59.642597,0 days 00:01:05.801916,relu,256,0.15768637698491847,0.04049405522524321,0.9690281029467924,0.964623699488206,0.00019672374403490668,1.2589518592624145,12,11,small,0.10515100625201833,0.5502650592958624,COMPLETE
1,1,461.8928957,2025-02-13 06:55:59.644863,2025-02-13 06:57:05.415833,0 days 00:01:05.770970,tanh,512,0.2047960503975893,0.0014695488645943733,0.9617034606644822,0.9595038020770683,5.209939573857336e-05,0.5497517083579149,12,12,tiny,0.028939418121540487,0.454654503384718,COMPLETE
2,2,556.6187086,2025-02-13 06:57:05.417658,2025-02-13 06:57:59.959371,0 days 00:00:54.541713,tanh,1024,0.220971051554112,0.005892701062366691,0.9190514772298172,0.9742275029608031,8.442504249721287e-05,0.8194001692421649,9,11,tiny,0.07077920088160869,0.39759405074266785,COMPLETE
3,3,516.995241,2025-02-13 06:57:59.961530,2025-02-13 06:59:19.699110,0 days 00:01:19.737580,tanh,128,0.15068876476443718,0.012857711555184129,0.9394757598333249,0.9835946658100049,0.00044552365063951695,1.5510817731710753,12,10,tiny,0.08145243356950513,0.4829256518950521,COMPLETE
4,4,391.1937514,2025-02-13 06:59:19.701200,2025-02-13 07:00:32.740182,0 days 00:01:13.038982,tanh,512,0.19348264647101016,0.0874428962414996,0.9990634417216551,0.9926291138510148,0.0005672857196608897,0.7982814809074956,12,12,small,0.09995006099645092,0.5996166903753115,COMPLETE
5,5,466.46260900000004,2025-02-13 07:00:32.743044,2025-02-13 07:01:35.829976,0 days 00:01:03.086932,relu,256,0.1509215483450663,0.13619610245098884,0.9778619044458675,0.9556601619973204,0.00017347892736540644,1.9139019631776568,10,10,small,0.14253285498124757,0.6842449043634845,COMPLETE
6,6,512.680713,2025-02-13 07:01:35.831564,2025-02-13 07:02:34.066665,0 days 00:00:58.235101,relu,256,0.1766784178831837,0.04337082019262299,0.9000716697295477,0.9692081616143218,0.0002216586586244828,1.382164897246853,8,11,small,0.12971575494558218,0.3101095504809855,COMPLETE
7,7,-1403.5847072000001,2025-02-13 07:02:34.069389,2025-02-13 07:03:24.071654,0 days 00:00:50.002265,relu,64,0.24835899707566247,0.02920287346259796,0.9543644329653294,0.9507255343251306,0.0009052788568385421,0.29925676174560945,11,11,small,0.1113512511471237,0.5829804973353037,COMPLETE
8,8,-15890.3080257,2025-02-13 07:03:24.073295,2025-02-13 07:04:16.939877,0 days 00:00:52.866582,relu,256,0.17370899341375043,0.006183165225365888,0.9875542961308841,0.9658950054374736,0.00012809042107851377,1.2557572608240601,10,12,small,0.04744720591056998,0.5703073830248538,COMPLETE
9,9,-237988.30286689996,2025-02-13 07:04:16.941614,2025-02-13 07:05:04.541383,0 days 00:00:47.599769,relu,64,0.1716365414106567,0.001505186277379098,0.9367239073700481,0.9817742785705421,0.00034132337238345733,1.7249799511647965,11,10,small,0.10947218838731516,0.6831277007360086,COMPLETE
10,10,359.27546100000006,2025-02-13 07:05:04.543173,2025-02-13 07:06:20.617380,0 days 00:01:16.074207,relu,128,0.2289627327392457,0.17905155923696134,0.972979873973877,0.9944757132856842,0.00010406708387759999,1.0067117155890966,11,11,tiny,0.06265339933743111,0.41920340863066685,COMPLETE
11,11,338.65138470000005,2025-02-13 07:06:20.619350,2025-02-13 07:07:16.967333,0 days 00:00:56.347983,tanh,1024,0.2170599831280452,0.005116798101059782,0.915516528114008,0.9756508803168238,6.75415410014682e-05,0.9090861411329201,8,11,tiny,0.07679950651885277,0.3633119206094775,COMPLETE
12,12,335.4383418,2025-02-13 07:07:16.968909,2025-02-13 07:08:15.027467,0 days 00:00:58.058558,tanh,1024,0.2333519609126884,0.013437476577237489,0.9236450600778409,0.9674662546872979,9.184780388461652e-05,0.6417470278294755,9,11,tiny,0.06326071544349765,0.5253401656297819,COMPLETE
13,13,384.6335097,2025-02-13 07:08:15.029105,2025-02-13 07:09:12.447073,0 days 00:00:57.417968,tanh,1024,0.19578950469003453,0.004288476479801213,0.937788340989836,0.9759146187998073,0.00015299887360357913,1.215803489385611,9,11,tiny,0.09608384006725465,0.3969704790986916,COMPLETE
14,14,-12179.733288600002,2025-02-13 07:09:12.448776,2025-02-13 07:10:03.921236,0 days 00:00:51.472460,relu,1024,0.21417758108073345,0.03356434366701814,0.9646996137939509,0.9623885781092735,0.0002614565773040386,0.38711486743281465,9,11,small,0.12588501226743848,0.5236419215073911,COMPLETE
15,15,582.5430196,2025-02-13 07:10:03.922929,2025-02-13 07:11:08.248699,0 days 00:01:04.325770,tanh,256,0.1869156175626622,0.06324990996833696,0.9007131901656967,0.9858116479287963,7.733883007808074e-05,1.0638614689038708,9,10,tiny,0.03929676109438645,0.3141318926982848,COMPLETE
